Major_Group,Title,Deductive_Reasoning,Dynamic_Strength,Explosive_Strength,Fluency_of_Ideas,Inductive_Reasoning,Manual_Dexterity,Mathematical_Reasoning,Memorization,Oral_Comprehension,Oral_Expression,Perceptual_Speed,Reaction_Time,Selective_Attention,Stamina,Static_Strength,Visualization,Written_Comprehension,Written_Expression,ComplexProb,CritThink,Negotiation,Persuasion,SocPercept,TimeMgmt,Troubleshooting,Florida,NewYork,NorthCarolina
27,Actors,2.88,2,1.5,3,2.88,2,1,3.88,4,4.12,2,1,3,2,2,2.62,3.88,2.88,1,1,2,1,2,1,1, , , 
27,Art Directors,3.62,1.12,1,4.25,3.5,2.12,2.5,2.38,4,4,2.75,1.25,2.75,1,1,3.88,4,3.38,2,2,3,3,2,2,1,99120,156580,100270
27,Athletes and Sports Competitors,3.38,3.62,3.62,2.88,3.38,3.12,2.12,2.38,4,3.88,2.88,2.88,3.12,3.88,3.88,3,3.25,2.75,1,2,2,2,2,1,2,63560,166360, 
27,Audio and Video Technicians,3.38,2,1.62,2.88,3.25,3,2.12,2.12,3.75,3.88,3,2.12,3.12,2.12,2.12,3,3.5,3.5,2,2,2,2,1,1,3,55910,73720,45280
27,Broadcast Announcers and Radio Disc Jockeys,3.38,1.5,1.5,3.5,3.38,2.25,1.75,3,4,4.88,2.12,2,3.25,1,1.5,2,4,3.88,1,2,2,2,2,2,1,85300,174340,62350
27,Broadcast Technicians,3.25,2,1.12,3,3.12,3,2.62,2.62,3.62,3.25,3,2.5,3.12,2,2.38,3,3.62,3.25,2,2,1,1,1,2,3,60140,85370,49240
27,"Camera Operators, Television, Video, and Film",3.12,2,1.62,3.12,3.12,3.12,2,2.12,3.5,3.62,2.88,2.12,3.25,2,2.62,3.75,2.88,2.75,1,2,2,2,2,2,3,72570,95360,62460
21,"Child, Family, and School Social Workers",3.88,1.88,1.75,3.12,3.88,1.12,2.12,2.62,4.38,4.62,2.62,2,3,1.75,1.88,2.25,4.12,4.12,2,2,3,3,2,2,1,56740,75270,59010
27,Choreographers,3.62,3.75,2.62,3.88,3.25,1.88,2,3,3.88,4,2.62,1.75,3.12,3.75,2.75,3.75,3.62,3,1,2,3,2,2,2,1,44980,108470,73630
21,Clergy,4,1,1,3.88,4,1.25,1.75,3.12,4.12,4.75,2.5,1,3.38,1,1,2,4,4,2,2,3,3,2,2,1,63400,75130,60370
27,Coaches and Scouts,3.75,2.5,1.88,3.75,3.75,2.38,2.25,2.75,4.12,4.62,2.62,1,3.12,2.62,2.88,3.38,3.75,3.5,2,2,3,3,2,2,2,58100,64020,59630
27,Commercial and Industrial Designers,3.75,1.62,1,3.88,3.38,2.12,2.75,2.5,3.75,3.75,2.75,1.75,3.12,1,1.12,3.75,3.75,3.12,2,2,2,3,2,2,1,74770,95540,81980
21,Community Health Workers,3.62,1.88,1,2.88,3.5,2.38,2.38,2.5,4.25,4.12,2.38,2.12,2.88,2.12,2.12,2.5,3.88,3.75,2,2,3,3,2,2,1,50330,61260,50160
27,Court Reporters and Simultaneous Captioners,2.88,1,1,1.88,2.62,2.25,2,2.25,4.12,3.88,2.5,1.38,3.75,1,1,1.88,3.88,4,1,1,1,1,1,1,1,60680,105590,69870
27,Craft Artists,3,2.25,1.5,3.62,2.88,3.75,2.5,2,3,3.12,2,2.12,2.88,2.12,2.5,3.5,2.88,2.75,1,1,1,2,2,1,2,47820,57900,51490
27,Dancers,2.62,4.25,2.62,2.88,2.5,2.12,1.5,2.88,3.5,3,2.5,1.5,3,4.25,3.62,2.75,2.75,2.62,1,1,1,1,1,1,1, , , 
21,"Directors, Religious Activities and Education",3.75,1.25,1.25,3.38,3.38,1,2.62,2.88,3.88,4,2.25,1,3,1.25,1.25,2.5,4,4,2,2,3,3,2,2,1,55070,70710,87070
27,Editors,3.5,1.5,1,3.88,3.38,2,2.12,2.62,4,4,2.88,1,3,1,1,2.88,4.88,4.62,2,2,3,2,2,2,1,77390,114590,73920
21,"Educational, Guidance, and Career Counselors and Advisors",3.75,1,1,3.62,3.75,1.25,2.62,2.62,4.25,4.25,2.62,1.25,3.12,1.12,1,2.38,4,4,2,2,3,3,2,2,1,59820,77720,56920
27,Fashion Designers,3.62,1.38,1.38,3.88,3.5,2.38,2.25,2,3.75,3.88,2.88,1.62,3,1,1.5,3.75,3.88,3.62,2,2,3,3,2,2,1,57550,106180,82370
27,Film and Video Editors,3.38,1,1,3.62,3.12,2.38,2,2.25,3.88,3.75,3.12,1.38,3.38,1,1,3.62,3.62,3.38,2,2,2,2,1,2,2,65050,110080,57390
27,"Fine Artists, Including Painters, Sculptors, and Illustrators",3,2.25,1.5,4,3,3.38,2.12,1.75,3.12,3,2.5,1.75,2.88,1.88,2.62,4,3,2.88,1,2,1,1,1,1,2,60120,84760,53020
27,Floral Designers,3.12,2.12,1.5,3.38,2.88,3.12,2.25,2,4,4,2.25,1.25,3,2.12,2.12,3.88,3,2.88,1,2,1,2,2,2,1,36640,45050,36600
27,Graphic Designers,3.25,1.25,1,3.88,3.12,2.12,2,2,3.62,3.5,2.75,1,3,1,1,3.12,3.75,3.5,2,2,3,2,2,2,1,62750,81020,61010
21,Health Education Specialists,3.62,1.38,1.25,3.38,3.88,2,2.12,2.12,4,4.25,2.12,1.25,3,1.62,2,2.12,4,4,2,2,3,3,2,2,1,62850,64770,66320
21,Healthcare Social Workers,4,1.25,1.75,3.75,3.88,1.5,2,2.88,4,4.12,2.5,1.88,3,1.88,1.62,2,4,3.88,2,2,3,3,2,2,1,67600,72480,65690
27,Interior Designers,3.62,1,1,4.12,3.25,1,3,2.25,4,4,2.88,1,3,1,1,4,3.88,3.62,2,2,3,3,2,2,2,65230,77170,58530
27,Interpreters and Translators,3.12,1.38,1.38,3,3,1.5,2,2.88,4.12,4.25,2.88,1,3.12,1.88,1.38,2.75,4,4,1,2,1,2,2,1,1,54790,86810,64280
21,Marriage and Family Therapists,4,1,1.38,3.62,4,1.12,2,2.88,4.25,4.25,2.75,1.38,3.12,1.12,1.38,2,4,4,2,2,3,3,2,2,1,69450,66710,60540
27,Media Programming Directors,3.75,1.12,1,3.88,3.62,2,2.5,2.75,4.25,4.25,2.38,2.12,3.12,1,1,2.62,4.12,4.12,2,2,3,3,2,2,1,97420,137300,79200
27,Media Technical Directors/Managers,4,1.38,1.25,3.38,3.75,2.25,2,2.75,4,4,3.25,2.25,3.25,1.38,1.38,3.12,3.75,3.75,2,2,2,3,2,2,2,97420,137300,79200
21,Mental Health and Substance Abuse Social Workers,4,1.12,1.88,3.88,4,1.12,2.5,2.75,4.5,4.25,2.75,1.88,3.12,1.62,1.88,2,4.12,4.12,2,2,3,3,2,2,1,56120,96240,58300
21,Mental Health Counselors,4,1.12,1.75,3.75,4,1.38,2.25,2.75,4.62,4.5,2.25,1.62,3.38,1.5,1.62,2.12,4.12,4.12,2,2,3,3,2,1,1, , , 
27,Merchandise Displayers and Window Trimmers,3.25,2.25,1.75,3.38,3,3.38,2.12,2,3.62,3.62,2.75,1.88,2.88,3,3,3.88,3,3,1,2,1,2,1,1,1,38960,46520,38460
27,Music Directors and Composers,3.5,2.25,1.75,3.75,3.12,2.25,2.12,3,3.62,3.62,2.75,1.5,3.12,2,1.75,2.38,3.75,3.5,2,2,3,3,2,2,1,69760,108980,66170
27,Musicians and Singers,2.88,2.25,1.75,3,2.88,3.12,2.12,3.5,3.88,3.88,3,2.12,2.88,2.12,1.88,2.75,3.5,3.12,1,1,2,2,2,1,1, , , 
27,"News Analysts, Reporters, and Journalists",3.25,1.75,1.12,3.25,3.38,1.88,2,2.75,3.88,4,2.62,1.12,3.38,1.12,1.25,2.38,3.75,3.88,2,2,2,3,2,2,1,66190,293430,63030
27,Photographers,3.12,1.75,1.25,3.25,3,3,2,2,3.62,3.88,2.75,2.5,3,1.75,2,3.88,3.25,3,2,2,2,2,2,1,2,55520,69860,51200
27,"Poets, Lyricists and Creative Writers",3.12,1.62,1,4.25,3.38,2,1.88,2,3.88,3.75,1.88,1,3,1,1,2.5,4.12,4.75,2,2,1,2,2,1,1,79820, ,69370
21,Probation Officers and Correctional Treatment Specialists,4,1.38,2.12,2.88,3.88,2,2,2.12,3.88,4.12,2.12,2.12,3,2,2.12,2,4,3.75,2,2,3,3,2,2,1,52470,79580,58150
27,Producers and Directors,4.12,1.5,1.25,3.62,3.62,2.12,2.62,2.88,4.12,4.5,3,1.75,3.12,1,1.75,3.62,3.88,3.75,2,2,3,2,2,2,1,97420,137300,79200
27,Public Relations Specialists,3.88,1,1,3.75,3.62,1,2,2.25,4.25,4.12,2,1,2.88,1,1,2.62,3.88,4,2,2,3,3,2,2,1,68870,93290,68760
21,Rehabilitation Counselors,3.88,1.25,1.38,3.12,3.75,1.12,2.12,2.12,4,4,2.38,1.38,2.62,1.38,1.38,2,3.88,3.88,2,2,3,3,2,2,1,54670,53900,47300
27,Set and Exhibit Designers,3.62,1.38,1,4.12,3.5,2.62,2.75,2.5,4,3.75,2.88,1.75,3,1.38,2.12,4,3.88,3.75,2,2,3,2,1,2,1,68050, ,50150
21,Social and Human Service Assistants,3.88,1.88,1.75,3.25,3.25,1.5,2,2.75,3.88,4,2.75,1.5,3,1.88,1.88,2.12,3.88,3.88,2,2,3,3,2,1,1,44440,48710,42460
27,Sound Engineering Technicians,3.25,1.38,1,3.25,3.12,2.88,2.12,2.5,3.75,3.75,3.12,1.75,3.38,1.12,2.12,3.12,3.5,3.5,2,2,2,2,1,1,3,67770,93760,58350
27,Special Effects Artists and Animators,3.62,1.25,1,3.38,3.25,2.25,2.75,2.12,4.12,4,2.75,1.75,3,1,1,4,4,3.5,1,2,2,2,1,1,1,82140,112280,70360
21,Substance Abuse and Behavioral Disorder Counselors,4,1.5,2,3.38,4,1.25,2,2.62,4,4.12,2.25,2,3.12,1.88,2,2.5,4,4,2,2,3,3,2,1,1, , , 
27,Talent Directors,3.62,1.5,1,3.25,3.75,1.12,2.38,2.38,4,4.12,2.25,1,2.88,1.25,1,2.62,4,3.62,2,2,3,3,2,2,1,97420,137300,79200
27,Technical Writers,3.75,1,1,3,3.38,2,1.88,2,3.88,3.75,2.12,1,2.5,1,1,3,4.12,4.25,1,2,2,2,1,2,1,87110,89060,95740
27,"Umpires, Referees, and Other Sports Officials",3.25,2.12,2,1.88,3,1.75,2.12,3,3.75,3.88,3.12,2.12,3.12,2.88,2.12,2.62,3,2.88,1,2,2,2,1,1,1,41700, ,32300
27,Writers and Authors,3.12,1.12,1.12,3.88,3.12,1.12,1.38,2.38,4,4,2,1.12,2.75,1.12,1.12,2.38,4.12,4.62,1,2,2,3,2,2,1,79820, ,69370
